21	5	21	11	22	28
30	2	12	7	7	8
23	11	14	30	29	32
8	25	1	7	31	17
20	28	29	1	5	29
1	5	30	9	22	26
18	30	25	20	16	30
20	32	27	9	5	26
24	29	15	25	6	7
9	22	21	20	26	18
5	3	25	31	2	15
10	19	10	26	23	24
5	3	16	28	20	25
27	28	2	6	16	7
10	24	13	22	17	7
29	27	22	8	26	23
24	15	3	21	21	13
26	5	23	14	25	30
9	10	20	18	1	31
17	25	15	32	33	28
33	27	7	4	21	9
15	2	22	10	12	11
23	28	2	7	27	13
3	33	33	29	2	13
21	2	5	31	4	29
14	15	15	10	22	22
29	27	32	2	16	30
23	3	32	8	27	28
16	27	19	27	7	15
15	27	16	13	33	4
7	12	31	3	32	22
4	22	28	24	28	29
3	27	20	7	23	30
13	30	21	15	11	2
13	22	17	29	7	2
28	33	27	27	2	4
6	10	32	4	31	24
1	24	20	22	31	33
19	16	13	33	33	3
14	31	6	3	23	27
18	18	30	19	25	3
9	20	5	23	27	6
22	22	21	23	24	31
10	27	32	18	13	26
20	10	25	28	22	4
4	22	19	3	15	14
2	28	8	16	20	12
19	6	25	30	21	27
24	12	23	22	9	13
17	27	19	21	17	28
15	16	20	4	19	13
33	18	4	28	29	5
7	20	16	7	21	5
11	18	31	2	26	29
30	19	33	20	33	21
8	23	3	24	30	10
5	12	16	23	16	33
16	6	30	27	32	27
2	14	4	23	18	26
12	17	4	6	11	31
20	24	26	15	24	32
10	17	8	2	9	5
4	11	25	6	20	17
30	23	2	30	17	33
17	19	14	20	21	5
27	8	21	12	10	29
6	2	16	8	2	1
24	8	7	17	21	14
23	28	29	20	17	12
18	11	1	7	22	8
27	11	12	26	24	10
25	2	19	6	2	26
22	22	1	20	8	5
29	15	4	26	10	29
23	24	13	17	3	18
20	28	31	25	24	19
13	19	25	24	8	29
17	11	1	30	25	26
22	19	30	17	19	15
14	18	6	33	14	10
11	18	15	19	11	13
27	18	13	14	25	3
27	4	27	14	23	16
14	16	28	9	23	15
2	21	2	9	21	16
29	9	30	31	22	28
9	2	23	3	19	6
27	2	16	18	16	32
8	15	1	1	7	19
2	1	12	12	2	9
23	24	17	14	15	14
4	8	19	21	27	33
16	7	5	4	3	1
25	1	31	18	6	9
26	30	12	33	20	5
2	17	13	22	3	13
4	14	29	4	6	33
19	28	10	14	9	15
2	8	2	17	4	9
16	18	28	27	20	27
6	13	30	28	21	6
27	11	15	12	10	21
5	6	7	33	3	16
1	1	31	16	33	2
9	6	5	31	16	10
16	1	8	24	26	14
6	23	18	5	18	28
12	20	30	8	24	22
18	28	24	11	23	29
29	7	32	12	1	20
32	33	27	28	7	23
15	1	21	4	17	5
25	26	5	31	24	15
22	21	30	32	4	20
18	6	27	11	18	6
9	24	21	27	7	13
25	19	11	26	11	31
11	17	23	17	18	1
7	21	2	18	7	29
22	9	26	14	10	1
30	20	19	32	29	3
17	6	19	1	29	30
19	21	25	4	16	14
24	6	27	16	24	3
21	20	17	26	1	28
22	27	28	23	4	32
32	30	12	32	9	27
26	11	25	15	11	15
4	7	5	13	28	25
32	22	27	15	15	26
12	26	21	7	8	5
30	25	9	30	25	13
15	5	6	26	33	7
9	28	3	18	21	14
28	11	26	27	27	2
18	33	4	8	3	4
29	9	10	25	6	1
6	8	28	30	33	9
3	3	13	27	13	29
13	23	32	12	24	30
5	26	9	30	8	24
19	22	22	16	32	14
18	12	16	12	24	32
15	27	2	15	22	20
1	27	9	3	32	9
27	32	8	11	12	27
4	33	20	15	7	10
21	27	13	2	9	12
6	29	18	11	31	28
16	21	21	27	33	24
14	22	8	18	3	5
7	10	23	26	30	17
24	25	22	9	22	19
29	1	16	1	8	8
4	20	12	26	33	23
31	14	22	3	3	28
22	3	32	16	12	13
31	12	18	27	10	11
9	31	9	15	4	1
31	27	6	25	22	4
10	24	33	20	13	15
23	13	14	25	20	19
21	3	18	16	13	20
4	16	18	2	17	2
12	9	10	19	4	21
26	8	26	15	10	28
29	4	23	3	1	12
5	3	25	6	17	19
15	9	33	16	9	6
6	25	10	25	11	30
24	13	27	2	7	7
26	22	6	29	9	2
17	17	30	33	6	12
1	27	32	8	19	21
33	9	24	7	11	23
13	1	9	20	1	26
28	31	26	18	8	20
20	14	12	31	9	22
20	17	18	19	5	24
28	11	18	2	6	18
7	23	29	2	19	21
10	12	8	16	29	29
31	24	12	33	16	15
21	12	21	26	20	10
23	7	30	14	6	19
6	11	6	25	17	23
18	16	24	23	25	20
10	22	25	14	5	30
21	27	26	27	11	17
14	1	26	5	32	1
2	12	2	16	3	22
12	28	11	22	8	7
4	29	21	33	20	24
1	31	16	13	8	21
32	13	18	13	4	28
1	9	12	32	17	14
12	5	22	11	32	16
24	15	3	1	10	32
17	26	8	14	2	6
26	22	1	11	20	1
11	2	5	15	17	6
1	6	12	22	33	27
